D1	D2	D3
pit_male	-0.776123652517683	0.0471117998082781	-0.207086182483641
pjut_male	-0.814917226005214	0.107956096650356	0.060005154563805
pjot_female	-0.747037336412867	0.135716712358461	0.0774489629663958
pet_female	-0.687362299715135	0.176566128342422	-0.284078470984529
pjat_male	-0.39970023336581	0.0262523312596587	-0.139175087282599
pjat_female	-0.417153016140378	0.033599462597415	-0.147475032373746
pot_female	-0.617657082110896	-0.0347281485089679	0.0990790399273162
pjet_male	-0.556344984762263	0.0233011257716372	-0.239403283575985
pjot_male	-0.770839848009584	0.145478430946484	0.0533842730342731
put_female	-0.722739007090005	-0.0635463947109879	0.0543457049122988
pjut_female	-0.792933991660334	0.0708134644470961	0.0133130192352356
put_male	-0.662847341983664	-0.051328965193878	0.0985081438314469
pjit_female	-0.772589094575389	-0.0694074298643487	-0.337638834721951
pjit_male	-0.737651755241023	-0.0310079704890753	-0.347522765045375
pat_female	-0.44003855567168	0.214581475490376	-0.0442105596695667
pit_female	-0.809847363407891	0.0159074174151977	-0.195154420195346
pet_male	-0.630424081357262	0.168540243542947	-0.28598169235303
pjet_female	-0.564803841912923	-0.000608877902466508	-0.282934429523403
pat_male	-0.4338784141396	0.238855603647632	-0.0636932343803749
pot_male	-0.61744933525324	0.00712622049162654	0.167870003915401
gjit_female	0.498082782355467	-0.158368721630553	0.249295673839083
gjet_female	0.761956808890475	-0.212674016638729	0.133953058838346
gjot_male	0.777052385377162	0.118310309928401	0.0680286566618081
gut_male	0.586621006110774	0.179112187105576	0.115051505235611
git_female	0.489791463700636	-0.0271908884313727	0.192184613300392
gjut_male	0.709913507879708	0.125877167164915	0.0201690632135761
gjat_female	0.669543928114868	-0.132106838820965	-0.119655669875231
git_male	0.642702271712572	-0.1908497743647	0.274362094120872
got_male	0.632592605866697	0.199295012289665	0.201299882284911
get_male	0.719945100586422	-0.274473432869223	0.146181267717556
got_female	0.668087576739873	0.15068959771383	0.248285163998374
gut_female	0.571334211044812	0.166140510407833	0.161561332285883
gjut_female	0.722115888695736	0.0729172323027681	-0.00146400406959876
gjit_male	0.526665016733841	-0.245253013956062	0.233032737368574
get_female	0.718276319297854	-0.282910136055037	0.169743276770039
gat_female	0.518119640709095	-0.154008324131122	-0.151800999614375
gjot_female	0.796713113736104	0.058191713622591	0.112899753703175
gjat_male	0.670710361650178	-0.178202605892006	-0.0908079174657521
gat_male	0.544129760679412	-0.183359971304327	-0.114568691067552
gjet_male	0.747984711451255	-0.192314732541345	0.102648892957688
