D1	D2	D3	D4	D5
pit_male	-0.577715625614536	-0.137282461420097	-0.208378958321969	0.102015312877731	0.236253017011259
pjut_male	-0.408669283851891	-0.0797699922179852	0.294197952407082	-0.0902952465344548	0.107465540024751
pjot_female	-0.495593202891452	0.0974682724291651	0.2846386224975	-0.220892118725264	-0.0269596684518354
pet_female	-0.777082912533816	0.18285185893812	-0.376095054390742	0.0787894548222705	0.0773761002917522
pjat_male	-0.433512359227193	-0.139918035140814	-0.246723401578898	-0.226596127863436	-0.390957763130637
pjat_female	-0.578626663047003	-0.0483692177962517	-0.26269494025463	-0.199804094064228	-0.40434130867174
pot_female	-0.779255531745465	0.140657593596239	0.236610956020561	0.013741962772848	-0.196933366934829
pjet_male	-0.620694566651219	-0.028214857939293	-0.386206508102386	-0.191947417404093	-0.0864119660387677
pjot_male	-0.511643158775104	0.193988265810819	0.226614266566138	-0.17704306996296	0.0652049519761651
put_female	-0.75470704504867	-0.0384281627793568	0.206330993470899	0.147899222621198	0.0329073210360867
pjut_female	-0.637120376491637	-0.0827348690392389	0.180037862010322	-0.177163541235687	0.14191303473176
put_male	-0.579899143815589	-0.00343550450234516	0.289573068719253	0.223935825222484	-0.11641352996571
pjit_female	-0.189860302287195	0.0817495594926553	-0.360948604963816	0.0861338948248673	0.243665298406258
pjit_male	-0.329894114260936	0.099764022592207	-0.422394462638299	0.096488924616975	0.213656979257775
pat_female	-0.269787544701148	0.158848137416605	-0.086942310121672	0.0935864037051013	-0.453346982774523
pit_female	-0.449919954669334	0.0541661399644074	-0.143919365319281	0.0422907336577278	0.312067772937479
pet_male	-0.74578583979326	0.0873591048246337	-0.409463528046333	0.0612290184838267	-0.0287341133637139
pjet_female	-0.504927335027872	-0.0363999728627441	-0.443512204389626	-0.160806668296051	-0.038654052469091
pat_male	-0.270269542918522	0.0511363409650464	-0.159179410454265	0.187942594374196	-0.463458484615436
pot_male	-0.643356264657794	0.0777060333089318	0.330898240289684	0.129259870476871	-0.245033795847411
gjit_female	0.28654544437748	-0.202932023057102	0.0868066368228059	-0.331783863947318	0.00446580662098902
gjet_female	0.726617468632527	-0.289139608839478	0.192753746286333	-0.0507210197365081	0.179880634286605
gjot_male	0.70035272099647	0.296370289379007	0.146120076463841	0.113058605642907	0.176042271018595
gut_male	0.373116384236501	0.418074134009824	0.0357013053755666	-0.0075794649976335	0.0638731700595766
git_female	0.393919748309117	0.00323899347773171	-0.0649421982118694	-0.211044625032167	-0.2160981567952
gjut_male	0.634684694621846	0.300422107591732	0.0357311994526428	0.186065541628373	-0.0421777323102433
gjat_female	0.399974307549356	-0.175897684626352	0.20928006881322	0.36369218365224	0.202474795601398
git_male	0.593763343203138	-0.298194000413543	0.00410702600899397	-0.283201986429633	-0.0985409121009466
got_male	0.537747780615922	0.442305876257663	0.0837165721937846	-0.230138353754019	0.0700857409159335
get_male	0.689560637589067	-0.470410059095842	0.0491478935381839	-0.0786875686327398	0.0706643377046041
got_female	0.568675038366412	0.332053112455655	0.0992212896796685	-0.242998377676741	0.20047224957933
gut_female	0.361814250354211	0.397835059004534	-0.00457698966133655	-0.0971067553358384	-0.0188604981683041
gjut_female	0.722219250531601	0.199832574812019	0.0317168296274322	0.178604069896587	-0.117528807453674
gjit_male	0.295762790654309	-0.331280072435724	0.140800950128919	-0.287933081213129	0.0932791212345772
get_female	0.615114749732712	-0.454502080753297	0.129418740781206	-0.116250904762643	0.182550158063212
gat_female	0.234483987106773	-0.200603123045253	0.0331680108267547	0.43047424393299	-0.0241561801907426
gjot_female	0.776012444644487	0.189251106468198	0.141747341991627	0.0455565504138719	0.200515896617435
gjat_male	0.572079124829738	-0.241297380924305	0.0547409623850295	0.392161324259761	0.0436461604365988
gat_male	0.315196628856776	-0.272527597793739	-0.0370239811802524	0.36425774152685	-0.0220628836769399
gjet_male	0.760679972801268	-0.273741878112427	0.0899213052779202	0.04481080619487	0.072209845147599
