D1	D2	D3	D4
pit_male	-0.736008495147334	0.0240163858734396	-0.23356651459675	-0.224452711149921
pjut_male	-0.640811352936087	0.180521750905099	0.159078460056454	-0.193140979807845
pjot_female	-0.694187328441386	0.175079973567757	0.186570192046321	-0.0468675695678122
pet_female	-0.834399911087628	-0.0489780390655223	-0.349539354253823	-0.0274952359063789
pjat_male	-0.478212844068441	0.120068920536623	-0.229085741969593	0.300537803137357
pjat_female	-0.543370829195364	0.0535754854074439	-0.223127594263446	0.307592013160234
pot_female	-0.66702694085294	-0.0987467666385479	0.186619336279493	0.105021815404762
pjet_male	-0.645091351430671	0.0210158283332214	-0.344767632947667	0.0989720058057858
pjot_male	-0.690314140875077	0.207042413411569	0.14146413052205	-0.0867659998233615
put_female	-0.716676006142496	-0.138097819143829	0.14155037937522	-0.0555737475656391
pjut_female	-0.78691192808976	0.11884909043958	0.0951508258082589	-0.11687563348284
put_male	-0.555027409537809	-0.133175029422661	0.185428167174509	-0.0203996762537517
pjit_female	-0.450114268569183	-0.0294556123551773	-0.340622241508663	-0.340452034062588
pjit_male	-0.48509297867239	-0.072595663867596	-0.36551337822069	-0.263912080947656
pat_female	-0.235564296806068	0.0883734571478781	-0.0617097409135801	0.144620137049583
pit_female	-0.651212470071488	-0.00173507968253317	-0.188207889130686	-0.301315541237828
pet_male	-0.760340891791128	0.107210482337512	-0.387778700789861	0.00981784125581818
pjet_female	-0.575237672164058	-0.0506787052759516	-0.399754327371753	0.0418204189945406
pat_male	-0.235052673459663	0.142508008252691	-0.112514710223706	0.131842381970584
pot_male	-0.525906060067633	-0.0746128223727022	0.270585126874385	0.0622872376838067
gjit_female	0.385388133918237	-0.17024348138692	0.00779619296004553	-0.1992007031788
gjet_female	0.769295677667553	-0.255190576297863	0.134387277246647	-0.0470964426755663
gjot_male	0.790381865969716	0.227322662437064	0.106396916205271	0.079309958190796
gut_male	0.499099502310775	0.325086700585402	0.0124966091374696	0.0207476026753332
git_female	0.363261346955322	0.0195777041831736	0.203640615942953	-0.124815578123466
gjut_male	0.673325851932452	0.24222168086336	0.101438416884277	0.170047691132531
gjat_female	0.595390475052871	-0.165146411911043	0.222534358395544	0.3158755311309
git_male	0.555511118938291	-0.215886665816798	0.200736689984278	-0.220043114966424
got_male	0.595552350537775	0.359302549218775	0.0444311379852713	-0.139492335204963
get_male	0.687431926694439	-0.356218505812772	0.0288191256519532	-0.074884779995778
got_female	0.649142880775615	0.264128395436968	0.00315357662135175	-0.183128387400787
gut_female	0.480389418435271	0.303180313562911	0.0677545328713317	-0.0726449636157781
gjut_female	0.691421721740614	0.179804343084965	0.244888750213605	0.153506941324082
gjit_male	0.392283976427225	-0.312503076962741	0.0836345230020627	-0.180339028430728
get_female	0.6918805622109	-0.369331780097784	0.113621377310496	-0.0880340995724935
gat_female	0.405156419915538	-0.16731706984987	0.0824715122320599	0.390949298185551
gjot_female	0.830888900968724	0.140101766385649	0.0665229878591643	0.0143101428553436
gjat_male	0.650190287377365	-0.201602152142228	0.0471372476630787	0.311030138775077
gat_male	0.450254619616715	-0.203227661557606	0.0246507045854562	0.337775839436948
gjet_male	0.750312811961295	-0.234244992310939	0.0732286553012115	0.0108658448013817
