PARTICIPANT,SLIDE,GROUP #,GROUP
DS000019,1,1,"2, 3, 9"
DS000019,1,2,"4, 1, 17, 16"
DS000019,1,3,"6, 8, 18, 5, 11"
DS000019,1,4,"15, 19"
DS000019,1,5,"14, 13"
DS000019,1,6,"7, 10, 12, 20"
DS000019,2,1,"1, 8, 10, 15, 14"
DS000019,2,2,"9, 4, 11, 12, 5"
DS000019,2,3,"2, 3, 7, 6, 17, 13, 18, 20"
DS000019,2,4,"16, 19"
GH000020,1,1,"1, 13, 14, 16"
GH000020,1,2,"2, 9, 3, 11"
GH000020,1,3,"15, 19, 20"
GH000020,1,4,"7, 10, 12"
GH000020,1,5,"4, 17"
GH000020,1,6,"18, 5, 6, 8"
GH000020,2,1,"1, 5, 8, 14"
GH000020,2,2,"2, 7, 10, 18, 20"
GH000020,2,3,"15, 16, 19"
GH000020,2,4,"3, 6, 13, 17"
GH000020,2,5,"4, 9, 11, 12"
VW000021,1,1,"13, 14"
VW000021,1,2,"16, 1"
VW000021,1,3,"4, 17"
VW000021,1,4,"18, 8"
VW000021,1,5,"15, 19"
VW000021,1,6,"6, 5"
VW000021,1,7,"10, 12"
VW000021,1,8,"11, 2"
VW000021,1,9,"7, 20"
VW000021,1,10,"3, 9"
VW000021,2,1,"1, 14"
VW000021,2,2,"8, 5"
VW000021,2,3,"15, 10"
VW000021,2,4,"2, 20"
VW000021,2,5,"19, 16"
VW000021,2,6,"7, 18"
VW000021,2,7,"3, 17"
VW000021,2,8,"13, 6"
VW000021,2,9,"4, 12"
VW000021,2,10,"9, 11"
CH000022,1,1,"2, 7, 3, 9, 12, 20"
CH000022,1,2,"13, 14"
CH000022,1,3,"15, 19"
CH000022,1,4,"14, 8, 17, 18"
CH000022,1,5,"1, 10, 11, 16"
CH000022,1,6,"6, 5"
CH000022,2,1,"1, 16, 18, 19"
CH000022,2,2,"3, 9"
CH000022,2,3,"2, 8, 10, 15, 17, 20"
CH000022,2,4,"4, 6, 11"
CH000022,2,5,"5, 12, 13"
CH000022,2,6,7
CH000022,2,7,14
RJ000023,1,1,"1, 8, 14, 17"
RJ000023,1,2,"5, 19"
RJ000023,1,3,"2, 9, 12, 20"
RJ000023,1,4,"3, 7, 10, 11"
RJ000023,1,5,"4, 18"
RJ000023,1,6,"6, 15"
RJ000023,1,7,"13, 16"
RJ000023,2,1,"1, 5"
RJ000023,2,2,"2, 15"
RJ000023,2,3,"3, 4, 6, 9, 13"
RJ000023,2,4,"8, 10, 14, 20"
RJ000023,2,5,"7, 16"
RJ000023,2,6,"11, 12, 17"
RJ000023,2,7,"18, 19"
ZS000024,1,1,"7, 12, 20"
ZS000024,1,2,"10, 11, 2, 3, 9, 16, 1"
ZS000024,1,3,"15, 19"
ZS000024,1,4,"17, 8, 6, 5"
ZS000024,1,5,"14, 13"
ZS000024,2,1,"1, 14"
ZS000024,2,2,"15, 10"
ZS000024,2,3,"16, 19"
ZS000024,2,4,"12, 5, 8"
ZS000024,2,5,"9, 11, 4"
ZS000024,2,6,"3, 17, 6, 13, 2, 20, 18, 7"
EB000025,1,1,"1, 16"
EB000025,1,2,"15, 19"
EB000025,1,3,"18, 8, 5, 6"
EB000025,1,4,"2, 11, 10, 12, 20"
EB000025,1,5,"13, 14"
EB000025,1,6,"7, 3, 9"
EB000025,1,7,"4, 17"
EB000025,2,1,"1, 14"
EB000025,2,2,"16, 19, 7, 18"
EB000025,2,3,"10, 15, 8, 2, 20"
EB000025,2,4,"9, 11, 17, 4, 12, 3"
EB000025,2,5,"6, 13, 5"
